oa,epoch,time,trainAcc,testAcc,trainErr,testErr
GA,0,0.03427829999999865,8.333333333333332,8.823529411764707,2.4701804420027442,0.6465173611131046
GA,1,0.06211409999999873,100.0,100.0,0.1041438535044316,0.018689365779914206
GA,2,0.08981969999999961,100.0,100.0,0.036843956584865466,0.005933725150167336
GA,3,0.11851139999999916,100.0,100.0,0.1047365904233007,0.018839076338635664
GA,4,0.14638949999999973,100.0,100.0,0.1040088891148236,0.018682708380380105
GA,5,0.17516649999999956,100.0,100.0,0.008960483126651025,0.0015144320690109257
GA,6,0.20201020000000014,100.0,100.0,0.0006000212546272981,5.818255919584733e-05
GA,7,0.22874269999999974,100.0,100.0,0.0006792598509762553,6.812257588721362e-05
GA,8,0.25581940000000003,100.0,100.0,0.00036283760726896544,2.753214007434542e-05
GA,9,0.28282120000000077,100.0,100.0,0.000601843486042711,5.8511354572893876e-05
GA,10,0.309932400000001,100.0,100.0,0.0006075597216225973,5.916065388782457e-05
GA,11,0.33675610000000233,100.0,100.0,0.0001972525476393803,1.5632898163090253e-05
GA,12,0.3646089000000021,100.0,100.0,0.00020895228148639906,1.422706992264169e-05
GA,13,0.39216850000000036,100.0,100.0,0.00023121375694296078,2.3055635421828556e-05
GA,14,0.4183994000000002,100.0,100.0,7.274598734477916e-05,5.012134711032268e-06
GA,15,0.4453548000000005,100.0,100.0,5.1947889475638844e-05,2.7560996993666785e-06
GA,16,0.47211070000000177,100.0,100.0,1.572217840761755e-05,1.5702629820613347e-06
GA,17,0.4974019000000016,100.0,100.0,3.942180551031152e-06,3.371923994341077e-07
GA,18,0.5236169000000022,100.0,100.0,3.200161341029632e-06,3.461721966719666e-07
GA,19,0.5510933000000033,100.0,100.0,4.627476612557288e-05,2.721387001018387e-06
GA,20,0.5775598000000031,100.0,100.0,4.747336454821232e-06,3.378352496651073e-07
GA,21,0.6049032000000025,100.0,100.0,2.949632044599473e-06,2.3062210832628485e-07
GA,22,0.6312327000000035,100.0,100.0,3.942180551031152e-06,3.371923994341077e-07
GA,23,0.6585402000000027,100.0,100.0,1.6508028634735417e-06,1.239396754791097e-07
GA,24,0.6896173000000037,100.0,100.0,1.2609414861630818e-06,1.1152878399865585e-07
GA,25,0.7223480000000038,100.0,100.0,2.2509335132714023e-06,2.2768051451713828e-07
GA,26,0.7550193000000043,100.0,100.0,8.380615963461025e-07,1.1095683332195472e-07
GA,27,0.7875565000000044,100.0,100.0,7.066886118875628e-07,8.467561861424288e-08
GA,28,0.8190099000000046,100.0,100.0,7.793887658258297e-07,5.894911254697059e-08
GA,29,0.8515536000000044,100.0,100.0,1.4235531830300497e-06,1.781272726689354e-07
GA,30,0.884013300000003,100.0,100.0,1.137522595769497e-06,1.759184162558935e-07
GA,31,0.9165908000000034,100.0,100.0,8.635908988868292e-07,1.3011781470569993e-07
GA,32,0.9483959000000031,100.0,100.0,4.115753100616564e-07,3.956296034196778e-08
GA,33,0.9808303000000045,100.0,100.0,8.796076162637283e-07,1.021376252656292e-07
GA,34,1.0129221000000044,100.0,100.0,2.0238115055691925e-07,1.9657786864303136e-08
GA,35,1.0450317000000044,100.0,100.0,4.1063286828558647e-07,3.6626607446222216e-08
GA,36,1.0778767000000045,100.0,100.0,3.2032844020651967e-07,3.0538147708856796e-08
GA,37,1.1090624000000044,100.0,100.0,3.2958631220294776e-07,3.070503133472678e-08
GA,38,1.141936700000004,100.0,100.0,1.7995716108205224e-07,1.3810493367477475e-08
GA,39,1.1744772000000054,100.0,100.0,5.374818203738978e-08,3.0987098213417597e-09
GA,40,1.204535900000005,100.0,100.0,9.666520309963569e-08,5.9084306519280354e-09
GA,41,1.2363831000000047,100.0,100.0,8.690862510563311e-08,7.225484544890189e-09
GA,42,1.2685144000000061,100.0,100.0,3.3465608471209085e-08,1.6642350477356252e-09
GA,43,1.3015030000000074,100.0,100.0,6.882184485430934e-08,4.770393950355647e-09
GA,44,1.3330804000000072,100.0,100.0,4.963218310491545e-08,2.9774394568272847e-09
GA,45,1.3653154000000072,100.0,100.0,9.841425960011274e-08,7.509895586636403e-09
GA,46,1.3964373000000077,100.0,100.0,4.913182577680825e-08,2.017686724129143e-09
GA,47,1.4270535000000084,100.0,100.0,2.5233834604466166e-08,1.1251533474733648e-09
GA,48,1.4586697000000068,100.0,100.0,2.361620987200098e-08,1.1888927407111253e-09
GA,49,1.4898850000000063,100.0,100.0,2.7321951844653852e-08,1.1959271194580991e-09
GA,50,1.522805900000007,100.0,100.0,2.7929589272514958e-08,1.7136870041823794e-09
GA,51,1.5544694000000074,100.0,100.0,2.284790127022764e-08,1.016218272285373e-09
GA,52,1.5862026000000053,100.0,100.0,2.2471271785440285e-08,9.565749079707552e-10
GA,53,1.6177546000000032,100.0,100.0,1.9349473437592075e-08,9.087863960299203e-10
GA,54,1.6492848000000055,100.0,100.0,2.062949460314956e-08,1.200450212192663e-09
