oa,epoch,time,trainAcc,testAcc,trainErr,testErr
backprop,86,0.15023620000000037,100.0,100.0,0.0,0.0
backprop,87,0.15162350000000036,100.0,100.0,0.0,0.0
backprop,88,0.1530121000000002,100.0,100.0,0.0,0.0
backprop,89,0.15440030000000027,100.0,100.0,0.0,0.0
backprop,90,0.1558014000000003,100.0,100.0,0.0,0.0
backprop,91,0.15719190000000016,100.0,100.0,0.0,0.0
backprop,92,0.15858320000000026,100.0,100.0,0.0,0.0
backprop,93,0.15999750000000024,100.0,100.0,0.0,0.0
backprop,94,0.16138930000000018,100.0,100.0,0.0,0.0
backprop,95,0.1627913000000003,100.0,100.0,0.0,0.0
backprop,96,0.16419340000000027,100.0,100.0,0.0,0.0
backprop,97,0.1655998000000003,100.0,100.0,0.0,0.0
backprop,98,0.16700820000000038,100.0,100.0,0.0,0.0
backprop,99,0.1684192000000002,100.0,100.0,0.0,0.0
backprop,100,0.16985220000000023,100.0,100.0,0.0,0.0
backprop,101,0.17127640000000022,100.0,100.0,0.0,0.0
backprop,102,0.1726987000000002,100.0,100.0,0.0,0.0
backprop,103,0.17411900000000013,100.0,100.0,0.0,0.0
backprop,104,0.17553760000000018,100.0,100.0,0.0,0.0
backprop,105,0.1769813,100.0,100.0,0.0,0.0
backprop,106,0.17845559999999994,100.0,100.0,0.0,0.0
backprop,107,0.17988379999999982,100.0,100.0,0.0,0.0
backprop,108,0.1812638999999998,100.0,100.0,0.0,0.0
backprop,109,0.1826496999999998,100.0,100.0,0.0,0.0
backprop,110,0.1840396999999998,100.0,100.0,0.0,0.0
backprop,111,0.18542849999999977,100.0,100.0,0.0,0.0
backprop,112,0.18680719999999984,100.0,100.0,0.0,0.0
backprop,113,0.18819059999999999,100.0,100.0,0.0,0.0
backprop,114,0.18959159999999997,100.0,100.0,0.0,0.0
backprop,115,0.1909669999999999,100.0,100.0,0.0,0.0
backprop,116,0.1923607999999999,100.0,100.0,0.0,0.0
backprop,117,0.19374119999999984,100.0,100.0,0.0,0.0
backprop,118,0.19512839999999976,100.0,100.0,0.0,0.0
backprop,119,0.19650699999999977,100.0,100.0,0.0,0.0
backprop,120,0.19788909999999982,100.0,100.0,0.0,0.0
backprop,121,0.19928639999999986,100.0,100.0,0.0,0.0
backprop,122,0.20066619999999968,100.0,100.0,0.0,0.0
backprop,123,0.2020476999999996,100.0,100.0,0.0,0.0
