problem,difficulty,label,score,epoch,time,avgTrainTime,iterations
knapsack,10,RHC,1072.6318098912416,1000,0.07879770000000005,5.1010000000017985e-05,1000
knapsack,10,SA,1173.0827197139743,1002,0.16742080000000603,0.00014756999999998577,1000
knapsack,10,GA,1226.3720345846393,99999,61.87061959999972,0.0005975500000019451,10
knapsack,10,MIMIC,1226.3720345846393,1016,2.120112499999749,0.0019231000000004884,10
knapsack,50,RHC,4194.981822528679,1000,0.11622539999994785,0.00010083999999750403,1000
knapsack,50,SA,4407.504024579806,1002,0.21391009999994992,0.00020486999999889122,1000
knapsack,50,GA,4416.720341888482,99999,113.91384290000084,0.0010829600000079153,10
knapsack,50,MIMIC,4822.339638310928,8618,132.28709540000182,0.015459619999995766,10
knapsack,100,RHC,7096.750428285127,1000,0.20618039999976645,0.00018980000000965447,1000
knapsack,100,SA,7669.3826380633955,1002,0.3070977000003836,0.0002969300000017938,1000
knapsack,100,GA,8578.103336617152,99999,188.82169419999678,0.0019067999999833774,10
knapsack,100,MIMIC,9243.811716763714,6466,300.00743099999886,0.046564499999999495,10
knapsack,150,RHC,12132.117901041232,1001,0.30106180000097993,0.0002790100000311213,1000
knapsack,150,SA,13048.323647619856,1002,0.39754650000145375,0.000380680000000666,1000
knapsack,150,GA,13534.328617543915,99999,257.8406318000476,0.0025115200000072947,10
knapsack,150,MIMIC,14925.349420253655,3184,300.0413491000029,0.09480415000000449,10
